driverStandingsId,raceId,driverId,points,position,positionText,wins
1,18,1,10.0,1,1,1
4,18,4,5.0,4,4,0
8,18,8,1.0,8,8,0
9,19,1,14.0,1,1,1
12,19,4,6.0,7,7,0
16,19,8,11.0,2,2,1
17,19,9,8.0,5,5,0
27,20,1,14.0,3,3,1
30,20,4,6.0,9,9,0
34,20,8,19.0,1,1,1
35,20,9,14.0,4,4,0
48,21,1,20.0,2,2,1
51,21,4,6.0,10,10,0
55,21,8,29.0,1,1,2
56,21,9,19.0,3,3,0
69,22,1,28.0,3,3,1
72,22,4,9.0,8,8,0
76,22,8,35.0,1,1,2
77,22,9,24.0,4,4,0
90,22,20,0.0,22,22,0
91,23,1,38.0,1,1,2
94,23,4,9.0,8,8,0
98,23,8,35.0,2,2,2
99,23,9,32.0,4,4,0
112,23,20,4.0,12,12,0
113,24,1,38.0,2,2,2
116,24,4,9.0,9,9,0
120,24,8,35.0,4,4,2
121,24,9,42.0,1,1,1
134,24,20,5.0,14,14,0
135,25,1,38.0,4,4,2
138,25,4,10.0,9,9,0
142,25,8,43.0,3,3,2
143,25,9,46.0,2,2,1
156,25,20,5.0,14,14,0
157,26,1,48.0,1,1,3
160,26,4,13.0,9,9,0
164,26,8,48.0,3,3,2
165,26,9,46.0,4,4,1
178,26,20,5.0,15,15,0
179,27,1,58.0,1,1,4
182,27,4,13.0,9,9,0
186,27,8,51.0,3,3,2
187,27,9,48.0,4,4,1
200,27,20,6.0,15,15,0
201,28,1,62.0,1,1,4
204,28,4,18.0,8,8,0
208,28,8,57.0,2,2,2
209,28,9,49.0,4,4,1
222,28,20,6.0,16,16,0
223,29,1,70.0,1,1,4
226,29,4,18.0,8,8,0
230,29,8,57.0,3,3,2
231,29,9,55.0,4,4,1
244,29,20,9.0,14,14,0
245,30,1,76.0,1,1,4
248,30,4,23.0,8,8,0
252,30,8,57.0,4,4,2
253,30,9,58.0,3,3,1
266,30,20,13.0,12,12,0
267,31,1,78.0,1,1,4
270,31,4,28.0,7,7,0
274,31,8,57.0,4,4,2
275,31,9,64.0,3,3,1
288,31,20,23.0,9,9,1
289,32,1,84.0,1,1,4
292,32,4,38.0,7,7,1
296,32,8,57.0,4,4,2
297,32,9,64.0,3,3,1
310,32,20,27.0,8,8,1
311,33,1,84.0,1,1,4
314,33,4,48.0,7,7,2
318,33,8,63.0,4,4,2
319,33,9,72.0,3,3,1
332,33,20,30.0,8,8,1
3459,34,20,30.0,8,8,1
3446,34,9,75.0,3,3,1
3445,34,8,69.0,4,4,2
3441,34,4,53.0,6,6,2
3438,34,1,94.0,1,1,5
355,35,1,98.0,1,1,5
358,35,4,61.0,5,5,2
362,35,8,75.0,3,3,2
363,35,9,75.0,4,4,1
376,35,20,35.0,8,8,1
13649,37,9,0.0,20,20,0
13669,38,9,3.0,8,8,0
13652,38,1,22.0,3,3,0
13651,38,4,22.0,1,1,1
13650,38,8,22.0,2,2,1
13690,39,9,8.0,6,6,0
13712,40,9,12.0,7,7,0
13734,41,9,12.0,7,7,0
13716,41,4,40.0,2,2,2
13759,42,20,1.0,16,16,0
13756,42,9,12.0,7,7,0
13738,42,4,48.0,2,2,2
13782,43,20,1.0,17,17,0
13779,43,9,17.0,6,6,0
13761,43,4,50.0,2,2,2
13805,44,20,1.0,17,17,0
13802,44,9,22.0,6,6,0
13784,44,4,58.0,2,2,2
13828,45,20,1.0,17,17,0
13825,45,9,24.0,6,6,0
13851,46,20,1.0,17,17,0
13848,46,9,28.0,6,6,0
13830,46,4,73.0,2,2,3
13874,47,20,1.0,17,17,0
13871,47,9,29.0,6,6,0
13853,47,4,79.0,2,2,3
13898,48,20,1.0,17,17,0
13895,48,9,33.0,6,6,0
13877,48,4,89.0,2,2,4
13922,49,20,1.0,17,17,0
13919,49,9,33.0,6,6,0
13901,49,4,95.0,2,2,4
13946,50,20,1.0,18,18,0
13943,50,9,35.0,6,6,0
13925,50,4,95.0,2,2,4
13970,51,20,6.0,14,14,0
13967,51,9,35.0,6,6,0
13949,51,4,103.0,2,2,4
13972,52,8,110.0,1,1,6
13994,52,20,6.0,14,14,0
13991,52,9,39.0,6,6,0
13973,52,4,109.0,3,3,4
12809,53,8,6.0,3,3,0
12807,53,4,10.0,1,1,1
12827,54,8,6.0,6,6,0
12825,54,4,18.0,1,1,1
12848,55,8,14.0,3,3,0
12846,55,4,28.0,1,1,2
12870,56,8,18.0,3,3,0
12868,56,4,36.0,1,1,2
12892,57,8,23.0,3,3,0
12890,57,4,44.0,1,1,2
12914,58,8,27.0,3,3,0
12912,58,4,54.0,1,1,3
12936,59,8,27.0,4,4,0
12934,59,4,64.0,1,1,4
12959,60,8,33.0,3,3,0
12957,60,4,74.0,1,1,5
12982,61,8,39.0,3,3,0
12980,61,4,84.0,1,1,6
13005,62,8,39.0,4,4,0
13003,62,4,88.0,1,1,6
13028,63,8,43.0,4,4,0
13026,63,4,96.0,1,1,6
13052,64,8,49.0,5,5,0
13050,64,4,100.0,1,1,6
13076,65,8,49.0,5,5,0
13074,65,4,100.0,1,1,6
13122,66,9,0.0,23,23,0
13100,66,8,49.0,5,5,0
13098,66,4,108.0,1,1,6
13147,67,9,6.0,15,15,0
13125,67,8,57.0,5,5,0
13123,67,4,108.0,1,1,6
13172,68,9,6.0,16,16,0
13150,68,8,57.0,5,5,0
13148,68,4,116.0,2,2,6
13199,69,9,6.0,16,16,0
13177,69,8,61.0,5,5,0
13175,69,4,126.0,1,1,7
13226,70,9,6.0,16,16,0
13204,70,8,65.0,5,5,0
13202,70,4,134.0,1,1,7
1198,71,4,6.0,3,3,0
1203,71,8,1.0,8,8,0
